load_zone,TIMEPOINT,zone_demand_mw
Hubei,2025.01.26.14,11363.482335497614
Hubei,2025.01.26.15,11364.526130059949
Hubei,2025.01.26.16,11196.989174942419
Hubei,2025.01.26.17,11061.383942094955
Hubei,2025.01.26.18,10310.134576982648
Hubei,2025.01.26.19,9877.242065514716
Hubei,2025.01.26.20,10494.688627791507
Hubei,2025.01.26.21,11085.140452642152
Hubei,2025.01.26.22,10922.005534606169
Hubei,2025.01.26.23,10366.434352909931
Hubei,2025.01.27.00,10033.259226706943
Hubei,2025.01.27.01,9782.663154766165
Hubei,2025.01.27.02,9660.347702603603
Hubei,2025.01.27.03,9263.853593057751
Hubei,2025.01.27.04,9051.543486096627
Hubei,2025.01.27.05,8829.915335553658
Hubei,2025.01.27.06,8738.697838469281
Hubei,2025.01.27.07,8772.067553014409
Hubei,2025.01.27.08,9096.795724764344
Hubei,2025.01.27.09,9914.298358050168
Hubei,2025.01.27.10,10259.442117158293
Hubei,2025.01.27.11,10642.307865310544
Hubei,2025.01.27.12,10706.472812556696
Hubei,2025.01.27.13,11140.535964385614
Hubei,2025.01.27.14,11363.482335497614
Hubei,2025.01.27.15,11364.526130059949
Hubei,2025.01.27.16,11196.989174942419
Hubei,2025.01.27.17,11061.383942094955
Hubei,2025.01.27.18,10310.134576982648
Hubei,2025.01.27.19,9877.242065514716
Hubei,2025.01.27.20,10494.688627791507
Hubei,2025.01.27.21,11085.140452642152
Hubei,2025.01.27.22,10922.005534606169
Hubei,2025.01.27.23,10366.434352909931
Hubei,2025.01.28.00,10033.259226706943
Hubei,2025.01.28.01,9782.663154766165
Hubei,2025.01.28.02,9660.347702603603
Hubei,2025.01.28.03,9263.853593057751
Hubei,2025.01.28.04,9051.543486096627
Hubei,2025.01.28.05,8829.915335553658
Hubei,2025.01.28.06,8738.697838469281
Hubei,2025.01.28.07,8772.067553014409
Hubei,2025.01.28.08,9096.795724764344
Hubei,2025.01.28.09,9914.298358050168
Hubei,2025.01.28.10,10259.442117158293
Hubei,2025.01.28.11,10642.307865310544
Hubei,2025.01.28.12,10706.472812556696
Hubei,2025.01.28.13,11140.535964385614
Hubei,2025.01.28.14,11363.482335497614
Hubei,2025.01.28.15,11364.526130059949
Hubei,2025.01.28.16,11196.989174942419
Hubei,2025.01.28.17,11061.383942094955
Hubei,2025.01.28.18,10310.134576982648
Hubei,2025.01.28.19,9877.242065514716
Hubei,2025.01.28.20,10494.688627791507
Hubei,2025.01.28.21,11085.140452642152
Hubei,2025.01.28.22,10922.005534606169
Hubei,2025.01.28.23,10366.434352909931
Hunan,2025.01.22.00,11088.77553003484
Hunan,2025.01.22.01,9701.018500898312
Hunan,2025.01.22.02,9187.320617809295
Hunan,2025.01.22.03,8857.663230813781
Hunan,2025.01.22.04,8503.702291678637
Hunan,2025.01.22.05,8248.971644432015
Hunan,2025.01.22.06,8249.983047480853
Hunan,2025.01.22.07,8603.372551363143
Hunan,2025.01.22.08,9117.011423491409
Hunan,2025.01.22.09,9957.844659730126
Hunan,2025.01.22.10,10742.929967455784
Hunan,2025.01.22.11,11424.474444252672
Hunan,2025.01.22.12,11398.52480999687
Hunan,2025.01.22.13,11561.795937819586
